Ort,Name,E-Mail,Telefon,Addresse,Webseite,Facebook,Token,Gesendet Mail
Schattwald,Miteinander für Schattwald - MIT,,,,,,,
,,,,,,,,
Stanzach,Gemeinsam für Stanzach - GFS,,,,,,,
,,,,,,,,
Steeg,Gemeindeliste 1 - GL 1,,,,,,,
,,,,,,,,
Tannheim,Aktives Tannheim - TANNHEIM,tirol@vilshof.com,43 676 555 6340,,http://www.aktives-tannheim.com/,,,
Tannheim,HOND IN HOND - MITNOND - HIHM,hondinhondmitnond@gmail.com,,,,https://www.facebook.com/HondinHond,,
,,,,,,,,
Vils,Gemeinsam für Vils - VILS,,,,,,,
,,,,,,,,
Vorderhornbach,Gemeindeliste - GL,,,,,,,
,,,,,,,,
Weißenbach,"Mit´nand für Weißenbach, mit Harald Schwarzenbrunner - MFW",amtsleiter@weissenbach.tirol.gv.at,43 5678 52 10,Kirchplatz 3 6671 Weißenbach am Lech,,https://www.facebook.com/gemeinde.weissenbach,,
,,,,,,,,
Zöblen,Gemeinsam für Zöblen - GFZ,,,,,,,
Zöblen,Für Alle in Zöblen - FAZ,,,,,,,
